Product Name,SKU,Variant Title,Flavor,Size,Price,Sale Price,Original Price,In Stock,Product URL
Clear Whey MIKE AND IKEÂ® Flavors,13190965,Clear Whey MIKE AND IKEÂ® Flavors - 1.1lb - Caribbean Punch,Caribbean Punch,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-mike-and-ike-flavors/13121847/
Impact Whey Isolate (Sample),11401145,Impact Whey Isolate (Sample) - 0.9Oz - Chocolate Smooth,Chocolate Smooth,0.9Oz,CA$4.99,,CA$4.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate-sample/11401141/
Impact Whey Isolate (Sample),11401146,Impact Whey Isolate (Sample) - 0.9Oz - Strawberry Cream,Strawberry Cream,0.9Oz,CA$4.99,,CA$4.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate-sample/11401141/
Impact Protein Blend,11349700,Impact Protein Blend - 2.2lb - Chocolate Smooth,Chocolate Smooth,2.2lb,CA$69.99,,CA$69.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11349703,Impact Protein Blend - 2.2lb - Vanilla,Vanilla,2.2lb,CA$69.99,,CA$69.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11349704,Impact Protein Blend - 5.5lb - Chocolate Smooth,Chocolate Smooth,5.5lb,CA$159.99,,CA$159.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11349707,Impact Protein Blend - 5.5lb - Vanilla,Vanilla,5.5lb,CA$159.99,,CA$159.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11349708,Impact Protein Blend - 11lb - Chocolate Smooth,Chocolate Smooth,11lb,CA$289.99,,CA$289.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11349711,Impact Protein Blend - 11lb - Vanilla,Vanilla,11lb,CA$289.99,,CA$289.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11388049,Impact Protein Blend - 2.2lb - Cookies & Cream,Cookies & Cream,2.2lb,CA$58.99,CA$58.99,CA$69.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11388050,Impact Protein Blend - 5.5lb - Cookies & Cream,Cookies & Cream,5.5lb,CA$142.99,CA$142.99,CA$159.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11388051,Impact Protein Blend - 11lb - Cookies & Cream,Cookies & Cream,11lb,CA$289.99,,CA$289.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11388052,Impact Protein Blend - 2.2lb - Salted Caramel,Salted Caramel,2.2lb,CA$47.99,CA$47.99,CA$69.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11388053,Impact Protein Blend - 5.5lb - Salted Caramel,Salted Caramel,5.5lb,CA$159.99,,CA$159.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Protein Blend,11388054,Impact Protein Blend - 133servings - Salted Caramel,Salted Caramel,133servings,CA$289.99,,CA$289.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/
Impact Whey Isolate,10852483,Impact Whey Isolate - 11lb - Chocolate Milkshake,Chocolate Milkshake,11lb,CA$409.99,,CA$409.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,10852484,Impact Whey Isolate - 11lb - Strawberry Milkshake,Strawberry Milkshake,11lb,CA$409.99,,CA$409.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,10852485,Impact Whey Isolate - 11lb - Vanilla Ice Cream,Vanilla Ice Cream,11lb,CA$409.99,,CA$409.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,10852487,Impact Whey Isolate - 5.5lb - Unflavored,Unflavored,5.5lb,CA$224.99,,CA$224.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,10852489,Impact Whey Isolate - 5.5lb - Chocolate Milkshake,Chocolate Milkshake,5.5lb,CA$224.99,,CA$224.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,10852491,Impact Whey Isolate - 5.5lb - Strawberry Milkshake,Strawberry Milkshake,5.5lb,CA$224.99,,CA$224.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
